Nodes: 4 | Threads: 16 | Size: 80000000 | Payload: 1 | Time: 18.6277
Nodes: 8 | Threads: 16 | Size: 80000000 | Payload: 1 | Time: 19.0046
Nodes: 2 | Threads: 32 | Size: 80000000 | Payload: 1 | Time: 19.5780
Nodes: 4 | Threads: 32 | Size: 80000000 | Payload: 1 | Time: 19.0202
Nodes: 8 | Threads: 32 | Size: 80000000 | Payload: 1 | Time: 18.7817
Nodes: 2 | Threads: 1 | Size: 20000000 | Payload: 1 | Time: 5.1853
Nodes: 4 | Threads: 1 | Size: 20000000 | Payload: 1 | Time: 4.8162
Nodes: 8 | Threads: 1 | Size: 20000000 | Payload: 1 | Time: 4.6625
Nodes: 2 | Threads: 1 | Size: 40000000 | Payload: 1 | Time: 10.6200
Nodes: 4 | Threads: 1 | Size: 40000000 | Payload: 1 | Time: 9.8710
Nodes: 8 | Threads: 1 | Size: 40000000 | Payload: 1 | Time: 9.5553
Nodes: 2 | Threads: 1 | Size: 80000000 | Payload: 1 | Time: 21.6622
Nodes: 4 | Threads: 1 | Size: 80000000 | Payload: 1 | Time: 19.9850
Nodes: 8 | Threads: 1 | Size: 80000000 | Payload: 1 | Time: 19.3776
